state,2020/1/5,2020/1/12,2020/1/19,2020/1/26,2020/2/2,2020/2/9,2020/2/16,2020/2/23,2020/3/1,2020/3/8,2020/3/15,2020/3/22,2020/3/29,2020/4/5,2020/4/12,2020/4/19,2020/4/26,2020/5/3,2020/5/10,2020/5/17,2020/5/24,2020/5/31,2020/6/7,2020/6/14,2020/6/21,2020/6/28,2020/7/5,2020/7/12,2020/7/19,2020/7/26,2020/8/2,2020/8/9,2020/8/16,2020/8/23,2020/8/30,2020/9/6,2020/9/13,2020/9/20,2020/9/27,2020/10/4,2020/10/11,2020/10/18,2020/10/25,2020/11/1,2020/11/8,2020/11/15,2020/11/22,2020/11/29,2020/12/6,2020/12/13,2020/12/20,2020/12/27,2021/1/3,2021/1/10,2021/1/17,2021/1/24,2021/1/31,2021/2/7,2021/2/14,2021/2/21,2021/2/28,2021/3/7,2021/3/14,2021/3/21,2021/3/28,2021/4/4,2021/4/11,2021/4/18,2021/4/25,2021/5/2,2021/5/9,2021/5/16,2021/5/23,2021/5/30,2021/6/6,2021/6/13,2021/6/20,2021/6/27,2021/7/4,2021/7/11,2021/7/18,2021/7/25,2021/8/1,2021/8/8,2021/8/15,2021/8/22,2021/8/29,2021/9/5,2021/9/12,2021/9/19,2021/9/26,2021/10/3,2021/10/10,2021/10/17,2021/10/24,2021/10/31,2021/11/7,2021/11/14,2021/11/21,2021/11/28,2021/12/5,2021/12/12,2021/12/19,2021/12/26,2022/1/2,2022/1/9,2022/1/16,2022/1/23,2022/1/30,2022/2/6,2022/2/13,2022/2/20,2022/2/27,2022/3/6,2022/3/13,2022/3/20,2022/3/27,2022/4/3,2022/4/10,2022/4/17,2022/4/24,2022/5/1,2022/5/8,2022/5/15,2022/5/22,2022/5/29,2022/6/5,2022/6/12,2022/6/19,2022/6/26,2022/7/3,2022/7/10,2022/7/17,2022/7/24,2022/7/31,2022/8/7,2022/8/14,2022/8/21,2022/8/28,2022/9/4,2022/9/11,2022/9/18,2022/9/25,2022/10/2,2022/10/9,2022/10/16,2022/10/23,2022/10/30,2022/11/6,2022/11/13,2022/11/20,2022/11/27,2022/12/4,2022/12/11,2022/12/18,2022/12/25,2023/1/1,2023/1/8,2023/1/15,2023/1/22,2023/1/29,2023/2/5,2023/2/12,2023/2/19,2023/2/26,2023/3/5,2023/3/12,2023/3/19,2023/3/26,2023/4/2,2023/4/9,2023/4/16,2023/4/23,2023/4/30,2023/5/7,2023/5/14,2023/5/21,2023/5/28,2023/6/4,2023/6/11,2023/6/18,2023/6/25,2023/7/2,2023/7/9,2023/7/16,2023/7/23,2023/7/30,2023/8/6,2023/8/13,2023/8/20,2023/8/27,2023/9/3,2023/9/10,2023/9/17,2023/9/24,2023/10/1,2023/10/8,2023/10/15,2023/10/22,2023/10/29,2023/11/5,2023/11/12,2023/11/19,2023/11/26,2023/12/3,2023/12/10,2023/12/17,2023/12/24,2023/12/31,2024/1/7,2024/1/14,2024/1/21,2024/1/28,2024/2/4,2024/2/11,2024/2/18,2024/2/25,2024/3/3,2024/3/10,2024/3/17,2024/3/24,2024/3/31,2024/4/7,2024/4/14,2024/4/21,2024/4/28,2024/5/5,2024/5/12,2024/5/19,2024/5/26,2024/6/2,2024/6/9,2024/6/16,2024/6/23,2024/6/30,2024/7/7,2024/7/14,2024/7/21,2024/7/28,2024/8/4,2024/8/11,2024/8/18,2024/8/25,2024/9/1,2024/9/8,2024/9/15,2024/9/22,2024/9/29,2024/10/6,2024/10/13,2024/10/20,2024/10/27,2024/11/3,2024/11/10,2024/11/17,2024/11/24,2024/12/1,2024/12/8,2024/12/15,2024/12/22,2024/12/29,2025/1/5,2025/1/12,2025/1/19,2025/1/26,2025/2/2,2025/2/9,2025/2/16,2025/2/23,2025/3/2,2025/3/9,2025/3/16,2025/3/23,2025/3/30,2025/4/6,2025/4/13,2025/4/20,2025/4/27,2025/5/4,2025/5/11,2025/5/18,2025/5/25,2025/6/1,2025/6/8,2025/6/15,2025/6/22,2025/6/29,2025/7/6,2025/7/13,2025/7/20,2025/7/27,2025/8/3,2025/8/10,2025/8/17,2025/8/24,sum
Acre,975,939,753,718,542,546,386,331,304,267,129,84,85,92,105,92,183,224,441,312,302,257,283,224,123,129,110,106,84,92,74,72,73,50,78,59,64,70,75,64,79,115,114,156,236,348,386,514,469,575,641,649,1813,1816,2209,1998,1996,1767,2060,2066,2160,1686,1200,753,683,566,539,432,368,269,279,217,181,163,146,143,96,116,122,86,99,74,115,110,94,67,77,95,80,100,99,125,142,180,151,163,171,194,180,279,270,270,121,4,271,283,406,335,251,254,207,177,271,214,196,207,157,167,164,178,188,200,165,160,157,146,116,116,110,119,129,166,138,127,135,61,85,63,45,51,60,75,97,91,97,119,121,126,141,166,183,243,200,200,213,272,390,329,400,447,528,549,501,506,809,762,835,800,882,774,1117,904,697,684,530,369,254,227,206,153,176,146,133,149,138,93,131,133,131,131,133,94,182,178,192,240,241,359,459,533,674,745,951,1179,1253,1309,759,1383,2812,2597,2421,2006,1631,1142,1070,1068,966,770,668,509,444,572,638,582,488,411,325,200,186,155,146,164,151,139,168,141,148,130,148,142,142,147,116,130,127,155,172,187,213,273,245,317,330,375,463,474,733,986,1206,1270,1474,1665,1517,1652,1631,1709,1487,1515,1239,1089,1153,1127,880,849,655,618,682,698,638,685,688,553,524,354,354,309,268,356,272,243,198,178,182,99,15,136621
Alagoas,60,61,47,40,63,58,56,69,57,63,31,32,42,78,159,135,120,147,141,133,129,128,133,138,112,121,142,109,95,69,71,78,55,32,51,47,40,47,31,27,38,48,37,31,19,27,13,37,22,30,26,10,20,21,17,13,18,18,20,18,38,33,27,20,11,44,38,37,50,48,68,102,119,154,201,245,287,380,405,436,446,443,507,415,446,353,382,381,323,337,354,236,246,306,210,211,176,124,84,106,99,106,74,4,76,94,108,87,166,122,163,145,182,187,190,262,362,524,619,868,1240,1655,2046,2730,2752,2942,2715,2661,2653,2013,2074,1827,1503,1216,1261,1172,981,753,581,525,460,427,312,287,241,202,130,151,138,116,99,97,109,72,54,75,85,96,80,70,82,115,90,94,130,120,137,169,196,270,282,249,203,215,234,179,189,195,210,213,179,204,183,249,215,173,173,165,140,126,117,105,85,72,97,79,75,77,63,46,62,46,51,43,39,27,25,46,120,91,94,113,171,230,371,719,863,824,880,958,789,932,1027,908,879,845,779,942,820,881,952,1094,1077,871,1121,1146,1026,982,770,707,605,493,437,389,347,360,293,238,206,194,170,175,157,135,124,93,95,114,97,83,101,107,99,85,104,128,143,135,140,144,182,228,272,228,185,204,287,234,267,280,246,282,323,367,274,391,486,476,468,441,401,402,438,259,99,99825
Amapá,6,11,11,6,12,11,8,6,1,9,4,2,4,6,5,10,7,4,4,4,4,0,4,0,1,0,1,5,3,6,1,4,0,3,4,2,2,2,4,5,5,3,1,0,5,4,6,6,7,3,3,2,21,14,17,13,8,10,11,15,23,20,16,12,7,14,14,14,14,10,8,14,9,13,7,6,17,21,15,5,9,11,29,61,16,16,36,35,34,25,29,23,11,15,7,16,11,17,19,8,9,0,0,0,16,19,13,7,9,18,21,19,17,22,25,15,32,24,18,18,23,16,24,31,24,18,29,30,22,29,18,24,25,20,24,21,13,9,8,14,15,15,14,19,19,23,14,20,16,14,14,13,23,16,21,44,44,41,41,48,62,48,37,55,64,48,46,41,49,33,49,28,46,39,30,28,24,38,34,28,45,45,42,38,41,42,64,76,66,97,125,75,69,75,50,58,50,36,23,50,47,34,42,29,34,22,11,64,235,369,407,360,755,811,915,1007,1070,941,631,574,608,652,510,434,298,301,269,287,244,225,260,270,266,268,388,353,401,331,376,321,337,383,311,313,315,281,248,267,230,216,166,193,115,133,113,122,123,105,92,109,151,277,270,365,401,464,472,451,336,353,326,271,252,209,182,140,145,168,183,173,164,121,128,77,87,74,116,87,52,37,21,13,8,4,1,30386
Amazonas,552,460,375,413,337,349,278,271,383,369,275,175,231,177,185,172,155,144,195,197,199,211,199,222,144,168,149,94,106,86,72,89,90,92,88,75,66,119,116,127,109,130,135,131,128,136,169,161,251,204,207,143,310,304,348,323,408,457,513,544,649,579,658,581,569,532,454,401,453,432,452,340,326,358,347,287,272,248,292,214,227,185,200,176,142,120,111,132,89,99,78,83,71,99,63,71,95,149,146,140,164,134,92,6,210,163,133,171,180,175,212,191,242,226,267,262,272,219,224,255,218,241,284,293,252,220,176,194,131,125,155,159,127,105,139,88,96,59,76,113,186,202,295,317,315,269,252,323,363,294,317,294,267,345,293,326,661,607,648,669,792,710,497,462,506,496,447,411,375,363,419,460,414,455,333,423,344,285,239,228,245,230,269,268,259,264,192,175,216,202,186,177,183,173,164,170,137,197,162,151,245,195,235,288,318,366,421,596,1902,1910,2417,1939,2140,1928,1905,2041,2059,1766,1460,1126,885,1109,950,998,680,630,523,408,390,304,255,267,245,246,289,249,299,258,338,355,273,249,249,272,291,234,219,238,300,267,298,369,272,235,339,292,349,302,258,257,364,456,445,578,496,473,626,579,532,564,704,615,629,690,586,506,447,384,447,402,383,344,386,289,311,234,275,271,287,285,245,301,295,194,34,106362
Bahia,762,824,1020,1277,1529,1838,1987,2664,3439,3467,2483,2358,3248,4439,5756,5734,5703,6366,6173,5558,5554,5123,4347,3934,2879,2924,2404,1948,1463,1052,845,790,618,563,490,427,413,345,350,327,289,313,289,244,296,329,333,301,273,253,195,170,333,412,531,741,974,1321,1776,1673,1620,1814,1914,1407,1709,1781,1556,1349,1466,1412,1473,1209,967,841,803,610,432,438,375,280,227,213,187,153,158,135,106,140,117,141,139,89,121,105,121,154,200,214,239,292,281,244,146,33,696,723,742,734,830,910,1071,1203,1572,1791,2154,2528,2712,2949,2651,2980,3111,3030,2756,2633,2045,1816,1540,1126,937,970,850,786,626,581,605,576,540,499,419,375,362,383,376,411,376,379,338,312,368,402,459,490,535,490,468,642,1200,1302,1419,1793,2192,2578,2004,2146,2418,2510,2393,2451,2334,2118,2609,2407,2378,2840,2682,2699,2148,2268,1989,2110,1847,1928,1959,2123,1889,1420,1561,1322,1198,1124,1074,893,804,811,681,732,639,706,613,636,642,592,597,596,514,398,228,317,959,1236,1587,2261,4092,5814,9014,16064,22402,24917,26820,27037,23751,27299,24444,21456,17159,15254,13390,10705,8518,5753,4266,3390,2368,2141,2008,1884,1647,1322,1160,1092,993,844,720,710,755,637,585,497,550,616,576,591,617,553,648,712,756,790,755,603,801,995,1169,1493,1447,1618,1790,1960,1635,1526,2070,2042,1980,2060,1947,1592,2178,1963,2094,1961,2001,1698,1761,1365,862,816,917,824,743,776,616,578,466,357,95,674482
Ceará,320,430,491,634,914,1073,1133,1472,1614,1765,988,796,1107,1317,1674,1797,1733,1631,1394,1293,1137,1182,1070,1214,1178,1191,1050,1031,900,791,697,657,590,466,375,328,327,254,271,225,207,192,175,221,207,233,171,243,200,175,130,82,238,219,264,293,389,452,491,517,669,666,628,645,797,1167,1192,1503,1802,2168,2632,2702,2908,3615,3850,3579,3395,3213,3111,2982,2544,2251,2135,1726,1636,1222,1005,912,905,814,704,554,559,551,496,569,469,414,398,424,466,468,206,30,559,625,566,554,929,1208,1632,1535,1896,1852,2264,2501,2792,3325,3635,4319,4419,5306,6029,6097,5171,5352,5020,4469,4268,3816,2880,2520,2296,2034,2215,1729,1683,1317,1166,1120,952,799,629,597,488,451,351,412,438,479,379,374,288,212,207,235,500,393,515,618,644,786,757,1038,1649,1877,1905,2054,1778,1467,1762,1520,1301,1559,1505,1460,1250,1117,1039,1040,926,835,815,727,604,527,571,468,421,430,394,355,332,312,259,299,244,265,232,213,241,181,234,188,158,123,43,82,316,326,422,477,702,725,1162,1782,2298,2499,2403,2312,2236,3265,3370,3232,2206,2000,1632,1396,1185,1043,1044,1043,805,720,838,736,668,581,602,619,572,481,369,337,345,278,257,206,220,213,232,247,235,246,286,243,217,198,142,106,185,268,284,382,432,467,564,537,377,560,750,825,845,837,810,795,928,1077,1126,1095,900,705,632,506,483,417,416,413,421,405,404,382,436,213,44,324690
Distrito Federal,480,739,926,920,1196,1454,2169,2585,3110,3189,2608,2347,2624,3635,3674,3452,3737,3277,2813,2402,2099,1787,1410,944,812,820,619,588,509,409,286,342,322,296,349,356,364,306,301,287,272,215,215,314,299,280,305,465,415,447,407,300,454,411,420,378,443,478,639,552,739,577,592,574,668,791,833,968,896,986,1002,971,895,920,799,688,544,489,361,289,282,249,262,223,159,145,189,175,193,180,193,157,126,139,140,144,226,259,305,371,479,556,591,271,977,1008,1149,1383,1524,1787,1721,1869,2264,2708,3060,3726,4199,4321,4254,5023,4578,3859,3497,3489,2557,2325,1950,1596,1455,1162,810,689,581,576,515,564,619,571,625,639,671,627,701,613,649,698,592,510,559,688,775,889,1050,1003,889,802,1013,1001,1183,1021,1260,1345,1174,1211,1208,1330,1298,1529,1506,1303,1562,1410,1281,1427,1245,1256,957,959,874,918,759,614,651,667,560,488,568,489,547,502,548,569,650,551,525,522,398,534,415,486,626,695,1134,1413,1823,2627,2988,3937,9340,9782,15007,21998,25623,24198,23969,25714,24823,21609,19376,17439,11654,11954,10739,8542,6230,4951,4384,3822,3503,2501,1730,1161,805,423,465,409,327,312,305,359,377,340,292,294,304,308,302,297,324,347,411,516,667,634,769,604,742,662,555,457,682,750,718,802,813,947,824,849,678,725,835,711,597,616,555,517,646,653,734,488,519,427,463,331,308,275,341,301,257,253,238,225,342,282,115,571224
Espírito Santo,1327,1745,1983,1941,2276,2512,2396,2267,2497,2631,1759,2013,2073,1926,1788,1556,1442,1217,1064,953,769,723,605,495,388,370,335,259,253,262,253,296,231,230,180,210,175,225,193,160,122,117,130,123,158,194,164,237,239,183,157,131,225,218,201,246,257,189,157,233,317,241,331,369,285,375,423,453,512,460,468,480,500,453,570,512,503,471,354,331,290,248,162,233,354,275,224,175,196,187,205,182,149,142,188,200,242,182,253,256,242,394,249,302,221,284,214,175,149,174,167,179,253,309,376,451,614,752,695,683,814,782,893,723,614,622,501,394,374,342,337,344,301,278,311,358,321,279,210,192,234,203,268,235,271,319,302,301,369,409,364,417,464,686,833,1222,1991,2268,3363,3410,4505,5603,5877,6823,8098,9076,9566,9905,9855,8434,8383,7500,6664,7101,6386,5655,4571,4583,4069,4212,3760,3149,2588,2372,1749,1726,1578,1427,1324,1344,1107,1016,1297,1377,1376,1454,1295,1470,1302,1338,1543,1228,1370,1316,1331,1237,1113,1124,1780,2162,3021,3694,5406,6775,9900,13856,17063,17036,17241,15722,12056,13273,11447,9909,8064,7564,7504,6676,5280,3785,3579,3125,2664,2209,2129,1817,1589,1469,1247,1196,1096,1085,938,1018,906,952,940,963,846,1052,1202,1204,1769,1959,2764,3245,3614,4108,4153,2891,6384,6762,6267,6189,4904,3957,3016,2947,2175,2096,2134,2027,2034,2110,1934,1798,1956,1667,1931,1706,1615,1319,1339,1059,864,869,912,677,613,694,635,608,350,3,0,607883
Goiás,1579,1848,2236,2291,2961,3146,2927,3180,4308,4166,2910,2584,2889,3248,3131,3134,2764,2606,2425,2221,1845,1899,1832,1952,1789,1804,1469,1054,925,798,683,729,516,423,425,461,416,406,409,353,339,316,281,456,390,424,456,548,474,426,360,363,788,974,1177,1172,1425,1630,1616,1580,1979,1913,2103,2157,2255,2881,2640,2631,2614,2647,2537,2395,2002,2156,1936,1615,1494,1177,947,911,850,662,650,582,658,528,552,499,563,504,631,512,560,643,665,790,923,1397,1807,2276,2751,2254,1066,347,5611,5498,6271,6553,8088,8563,8178,7419,9905,11159,12257,13605,13655,13834,12825,12505,13302,12650,10522,7698,6094,6043,4952,4130,3985,3205,2606,2364,2366,2052,2213,2152,2028,1854,1883,1860,1651,1807,1762,1523,1476,1331,1170,1247,1665,1894,1924,2157,2149,1906,1601,1834,2605,2627,2952,2866,3476,3487,3066,3513,3647,3738,4082,4950,4909,3994,4881,4489,4162,4342,3938,3466,2489,2270,1766,1734,1576,1292,1112,1060,951,858,990,1039,1134,1110,1172,1130,1381,1394,1253,1413,1214,1478,1396,1315,1741,1600,1876,1903,1758,1372,896,1670,5108,5865,7597,11393,16934,19539,21532,24345,25115,23957,24974,23943,19350,24195,24731,24700,22157,21271,19207,15574,12278,8408,7093,6084,4638,3453,3174,2386,1930,1800,1861,1511,1448,1322,1154,1108,1096,1040,870,913,975,1045,1267,1386,1572,1818,2376,2510,2916,2534,2156,2017,2469,3472,3546,4714,5512,5991,6284,6157,5316,5304,5668,5299,5340,5630,5242,5107,6329,6274,7220,6403,5747,4422,4021,3522,2840,2235,1878,1594,1364,1348,1139,1056,1021,920,226,1161348
Maranhão,59,148,156,185,185,305,252,183,203,155,86,74,102,83,105,100,66,69,61,51,35,28,32,53,43,45,26,28,30,19,14,19,13,19,16,13,8,11,13,11,6,2,7,9,1,11,10,5,1,7,14,7,46,73,77,68,71,53,75,55,52,54,46,31,34,37,30,34,45,48,44,47,29,24,32,31,20,22,22,21,13,18,14,13,19,10,15,17,16,20,11,11,18,3,10,18,12,23,21,23,41,30,12,23,58,143,79,68,88,134,149,143,241,306,307,337,361,357,283,354,489,532,448,473,393,456,348,328,342,300,309,301,219,186,171,186,209,187,132,147,125,137,110,145,104,112,63,106,109,111,84,69,86,67,62,90,160,156,182,190,245,289,240,356,497,556,508,457,368,288,322,345,244,278,226,203,163,170,143,150,163,167,166,142,88,101,107,70,78,55,57,44,49,48,32,31,34,34,18,22,33,25,36,44,13,18,5,23,77,118,133,141,224,419,672,1048,1356,1476,1738,1801,1381,1755,1604,1216,781,642,529,379,337,252,203,187,166,114,107,91,63,52,62,57,65,69,60,52,55,48,36,48,47,44,46,48,61,45,57,44,48,51,42,55,74,111,155,216,270,360,406,563,408,413,535,590,520,573,416,321,468,499,545,445,449,337,355,228,201,176,158,163,144,178,176,175,134,52,3,55418
